15000       (+ 5000, 50.000000%)
20000       (+ 5000, 33.333333%)
25000       (+ 5000, 25.000000%)
30000       (+ 5000, 20.000000%)
35000       (+ 5000, 16.666667%)
40000       (+ 5000, 14.285714%)
45000       (+ 5000, 12.500000%)
50000       (+ 5000, 11.111111%)
55000       (+ 5000, 10.000000%)
60000       (+ 5000, 9.090909%)
65000       (+ 5000, 8.333333%)
70000       (+ 5000, 7.692308%)
75000       (+ 5000, 7.142857%)
80000       (+ 5000, 6.666667%)
85000       (+ 5000, 6.250000%)
90000       (+ 5000, 5.882353%)
95000       (+ 5000, 5.555556%)
100000      (+ 5000, 5.263158%)
105000      (+ 5000, 5.000000%)
110000      (+ 5000, 4.761905%)
115000      (+ 5000, 4.545455%)
120000      (+ 5000, 4.347826%)
125000      (+ 5000, 4.166667%)
130000      (+ 5000, 4.000000%)
135000      (+ 5000, 3.846154%)
140000      (+ 5000, 3.703704%)
145000      (+ 5000, 3.571429%)
150000      (+ 5000, 3.448276%)
155000      (+ 5000, 3.333333%)
160000      (+ 5000, 3.225806%)
165000      (+ 5000, 3.125000%)
170000      (+ 5000, 3.030303%)
175000      (+ 5000, 2.941176%)
180000      (+ 5000, 2.857143%)
185000      (+ 5000, 2.777778%)
190000      (+ 5000, 2.702703%)
195000      (+ 5000, 2.631579%)
200000      (+ 5000, 2.564103%)
205000      (+ 5000, 2.500000%)
210000      (+ 5000, 2.439024%)
215000      (+ 5000, 2.380952%)
220000      (+ 5000, 2.325581%)
225000      (+ 5000, 2.272727%)
230000      (+ 5000, 2.222222%)
235000      (+ 5000, 2.173913%)
240000      (+ 5000, 2.127660%)
245000      (+ 5000, 2.083333%)
250000      (+ 5000, 2.040816%)
255000      (+ 5000, 2.000000%)
260000      (+ 5000, 1.960784%)
265000      (+ 5000, 1.923077%)
270000      (+ 5000, 1.886792%)
275000      (+ 5000, 1.851852%)
280000      (+ 5000, 1.818182%)
285000      (+ 5000, 1.785714%)
290000      (+ 5000, 1.754386%)
295000      (+ 5000, 1.724138%)
300000      (+ 5000, 1.694915%)
305000      (+ 5000, 1.666667%)
310000      (+ 5000, 1.639344%)
315000      (+ 5000, 1.612903%)
320000      (+ 5000, 1.587302%)
325000      (+ 5000, 1.562500%)
330000      (+ 5000, 1.538462%)
335000      (+ 5000, 1.515152%)
340000      (+ 5000, 1.492537%)
345000      (+ 5000, 1.470588%)
350000      (+ 5000, 1.449275%)
355000      (+ 5000, 1.428571%)
360000      (+ 5000, 1.408451%)
365000      (+ 5000, 1.388889%)
370000      (+ 5000, 1.369863%)
375000      (+ 5000, 1.351351%)
380000      (+ 5000, 1.333333%)
385000      (+ 5000, 1.315789%)
390000      (+ 5000, 1.298701%)
395000      (+ 5000, 1.282051%)
